TMDB ID,Title,Release Date,Budget,Revenue,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,DVD Release Date,Production,Day of Release,Month of Release,Year of Release,Revenue (Millions),Runtime (Min),Primary Genre
14220,Strange Wilderness,2008-02-01,0.0,6575282.0,tt0489282,R,87 min,"Adventure, Comedy",Fred Wolf,"Peter Gaulke, Fred Wolf","Steve Zahn, Allen Covert, Jonah Hill, Kevin Heffernan","With the ratings dropping for a wilderness-themed television show, two animal fans go to the Andes Mountains in search of Bigfoot.",English,USA,,https://m.media-amazon.com/images/M/MV5BMTI1MTI1OTUxNl5BMl5BanBnXkFtZTcwMDQzMjU1MQ@@._V1_SX300.jpg,5.3,"20,310",20 May 2008,Paramount Classics,Friday,February,2008,6.5752820000000005,87,Adventure
9030,The Eye,2008-02-01,12000000.0,56309766.0,tt0406759,PG-13,98 min,"Drama, Horror, Mystery, Thriller","David Moreau, Xavier Palud","Sebastian Gutierrez (screenplay), Yuet-Jan Hui, Oxide Chun Pang, Danny Pang","Jessica Alba, Alessandro Nivola, Parker Posey, Rade Serbedzija",A woman receives an eye transplant that allows her to see into the supernatural world.,"English, Spanish","USA, Canada",2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTMyNjg3OTQyM15BMl5BanBnXkFtZTcwMjkyMzU1MQ@@._V1_SX300.jpg,5.4,"49,834",06 Jun 2008,Lionsgate Films,Friday,February,2008,56.309766,98,Drama
8321,In Bruges,2008-02-08,15000000.0,34533783.0,tt0780536,R,107 min,"Comedy, Crime, Drama, Thriller",Martin McDonagh,Martin McDonagh,"Elizabeth Berrington, Rudy Blomme, Olivier Bonjour, Mark Donovan","Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",English,"UK, USA",Nominated for 1 Oscar. Another 24 wins & 54 nominations.,https://m.media-amazon.com/images/M/MV5BMTUwOGFiM2QtOWMxYS00MjU2LThmZDMtZDM2MWMzNzllNjdhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,7.9,"372,769",24 Jun 2008,Focus Features,Friday,February,2008,34.533783,107,Comedy
13490,Welcome Home Roscoe Jenkins,2008-02-08,35000000.0,43650785.0,tt0494652,PG-13,114 min,"Comedy, Romance",Malcolm D. Lee,Malcolm D. Lee,"Martin Lawrence, James Earl Jones, Margaret Avery, Joy Bryant","Dr. RJ Stevens is a talk show host who visits his family in the deep south. While there he reunites with his brother Otis, his sister Betty, his cousin/rival Clyde and his childhood love interest Lucinda Allen.",English,USA,,https://m.media-amazon.com/images/M/MV5BNjIwODgyMDk5OF5BMl5BanBnXkFtZTYwMzQ5Nzc4._V1_SX300.jpg,5.5,"12,808",17 Jun 2008,Universal Pictures,Friday,February,2008,43.650785,114,Comedy
8676,Fool's Gold,2008-02-08,70000000.0,111231041.0,tt0770752,PG-13,112 min,"Action, Adventure, Comedy, Romance, Thriller",Andy Tennant,"John Claflin (screenplay), Daniel Zelman (screenplay), Andy Tennant (screenplay), John Claflin (story), Daniel Zelman (story)","Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena",A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,English,USA,5 nominations.,https://m.media-amazon.com/images/M/MV5BMTg3NTQ2MDY4OF5BMl5BanBnXkFtZTcwOTAzMjU1MQ@@._V1_SX300.jpg,5.7,"70,024",17 Jun 2008,Warner Bros. Pictures,Friday,February,2008,111.231041,112,Action
8328,Step Up 2: The Streets,2008-02-14,23000000.0,150816700.0,tt1023481,PG-13,98 min,"Drama, Music, Romance",Jon M. Chu,"Toni Ann Johnson, Karen Barna, Duane Adler (characters)","Briana Evigan, Robert Hoffman, Adam Sevani, Cassie Ventura",Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.,"English, Russian",USA,2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTc0NzYxOTgxOF5BMl5BanBnXkFtZTcwMTgxMjc1MQ@@._V1_SX300.jpg,6.2,"77,247",15 Jul 2008,Touchstone Pictures,Thursday,February,2008,150.8167,98,Drama
8390,"Definitely, Maybe",2008-02-14,0.0,55447968.0,tt0832266,PG-13,112 min,"Comedy, Drama, Romance",Adam Brooks,Adam Brooks,"Ryan Reynolds, An Nguyen, Matthew Mason, Rick Derby",A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter.,English,"UK, France, Germany, USA",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc1Mzc1ODMxMF5BMl5BanBnXkFtZTcwNDY1MzU1MQ@@._V1_SX300.jpg,7.1,"149,310",24 Jun 2008,Universal Pictures,Thursday,February,2008,55.447968,112,Comedy
8204,The Spiderwick Chronicles,2008-02-14,90000000.0,162839667.0,tt0416236,PG,96 min,"Action, Adventure, Drama, Family, Fantasy",Mark Waters,"Karey Kirkpatrick (screenplay), David Berenbaum (screenplay), John Sayles (screenplay), Tony DiTerlizzi (books), Holly Black (books)","Freddie Highmore, Mary-Louise Parker, Nick Nolte, Sarah Bolger","Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",English,USA,2 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMTMzMDcyMzM2Ml5BMl5BanBnXkFtZTYwNzg1Nzc4._V1_SX300.jpg,6.5,"84,004",24 Jun 2008,Paramount Pictures,Thursday,February,2008,162.839667,96,Action
8279,Paris,2008-02-20,19000000.0,23550000.0,tt0869994,R,130 min,"Comedy, Drama, Romance",Cédric Klapisch,Cédric Klapisch,"Fabrice Luchini, Romain Duris, Joffrey Platel, Mélanie Laurent","A ex-dancer has a heart problem and even with a transplant, he may still only have a few months to live. Time's spent looking at people/life in Paris from his balcony. His single mom sister moves in with her 3 kids to look after him.",French,France,3 nominations.,https://m.media-amazon.com/images/M/MV5BMTMxNjMxNjMwOF5BMl5BanBnXkFtZTcwMjA1OTIxMw@@._V1_SX300.jpg,6.8,"11,251",10 Mar 2010,IFC,Wednesday,February,2008,23.55,130,Comedy
7461,Vantage Point,2008-02-22,40000000.0,151161491.0,tt0443274,PG-13,90 min,"Action, Crime, Drama, Mystery, Thriller",Pete Travis,Barry L. Levy,"Dennis Quaid, Matthew Fox, Forest Whitaker, Bruce McGill",The attempted assassination of the American President is told and re-told from several different perspectives.,"English, Spanish","USA, Mexico",2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTg3MjQ5OTY4M15BMl5BanBnXkFtZTcwNjk1MDU1MQ@@._V1_SX300.jpg,6.6,"141,096",01 Jul 2008,Sony Pictures Releasing,Friday,February,2008,151.16149099999996,90,Action
12184,The Other Boleyn Girl,2008-02-28,35000000.0,78269970.0,tt0467200,PG-13,115 min,"Biography, Drama, History, Romance",Justin Chadwick,"Peter Morgan (screenplay), Philippa Gregory (novel)","Natalie Portman, Scarlett Johansson, Eric Bana, Jim Sturgess",Two sisters contend for the affection of King Henry VIII.,English,"UK, USA",3 nominations.,https://m.media-amazon.com/images/M/MV5BMTQ2NTg1Mjk1Ml5BMl5BanBnXkFtZTYwODI5Njk3._V1_SX300.jpg,6.7,"99,325",10 Jun 2008,Sony Pictures/Columbia,Thursday,February,2008,78.26997,115,Biography
13260,Semi-Pro,2008-02-29,0.0,33472850.0,tt0839980,R,91 min,"Comedy, Sport",Kent Alterman,Scot Armstrong,"Will Ferrell, Woody Harrelson, André Benjamin, Maura Tierney","Jackie Moon, the owner-coach-player of the American Basketball Association's Flint Michigan Tropics, rallies his teammates to make their NBA dreams come true.",English,USA,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BMTc1MjQ4NTc3M15BMl5BanBnXkFtZTcwMTc3NTg1MQ@@._V1_SX300.jpg,5.8,"75,613",03 Jun 2008,New Line Cinema,Friday,February,2008,33.47285,91,Comedy
12222,Horton Hears a Who!,2008-03-03,85000000.0,297138014.0,tt0451079,G,86 min,"Animation, Adventure, Comedy, Family, Fantasy","Jimmy Hayward, Steve Martino","Cinco Paul (screenplay by), Ken Daurio (screenplay by), Dr. Seuss (based upon the book by)","Jim Carrey, Steve Carell, Carol Burnett, Will Arnett",Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.,English,USA,1 win & 18 nominations.,https://m.media-amazon.com/images/M/MV5BYzk5YzhjODYtZDc3Mi00OTYyLWIyYzAtMzZjYTljYTYzODM1XkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_SX300.jpg,6.8,"123,873",09 Dec 2008,20th Century Fox,Monday,March,2008,297.138014,86,Animation
8456,Never Back Down,2008-03-04,20000000.0,41627431.0,tt1023111,PG-13,113 min,"Action, Drama, Sport",Jeff Wadlow,Chris Hauty,"Sean Faris, Amber Heard, Cam Gigandet, Evan Peters",A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTkzNDg3MTIyMF5BMl5BanBnXkFtZTcwOTAwNDc1MQ@@._V1_SX300.jpg,6.6,"92,476",29 Jul 2008,Summit Entertainment,Tuesday,March,2008,41.627431,113,Action
7840,"10,000 BC",2008-03-05,105000000.0,266000000.0,tt0443649,PG-13,109 min,"Action, Adventure, Drama, Fantasy, History",Roland Emmerich,"Roland Emmerich, Harald Kloser","Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel","In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",English,"USA, South Africa",,https://m.media-amazon.com/images/M/MV5BMzc2NDMzNDY4Ml5BMl5BanBnXkFtZTYwNzM2Njk3._V1_SX300.jpg,5.1,"121,872",24 Jun 2008,Warner Bros. Pictures,Wednesday,March,2008,266.0,109,Action
13493,College Road Trip,2008-03-07,0.0,68397662.0,tt0997047,G,83 min,"Adventure, Comedy, Drama, Family",Roger Kumble,"Emi Mochizuki, Carrie Lee Wilson, Cinco Paul, Ken Daurio","Martin Lawrence, Raven-Symoné, Kym Whitley, Adam LeFevre","James Porter (Martin Lawrence) drives his teenage daughter Melanie (Raven Symone), from their home in Chicago to a college interview in Washington, D.C.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc5NjM4Njg1NF5BMl5BanBnXkFtZTcwMDE2OTc1MQ@@._V1_SX300.jpg,4.3,"14,781",15 Jul 2008,Buena Vista,Friday,March,2008,68.397662,83,Adventure
8848,The Bank Job,2008-03-07,20000000.0,64822796.0,tt0200465,R,111 min,"Crime, Thriller",Roger Donaldson,"Dick Clement, Ian La Frenais","Jason Statham, Saffron Burrows, Stephen Campbell Moore, Daniel Mays",Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry. But Terry and his crew don't realize the boxes also contain a treasure trove of dirty secrets - secrets that will thrust them into a deadly web of corruption and illicit scandal.,"English, Latin","UK, USA, Australia",3 nominations.,https://m.media-amazon.com/images/M/MV5BMmE2NzEyOWItYjI1ZC00YWZhLWI2MjEtZmU1NjIyNjliOTkyXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_SX300.jpg,7.2,"168,222",15 Jul 2008,Lionsgate,Friday,March,2008,64.822796,111,Crime
12178,Miss Pettigrew Lives for a Day,2008-03-07,0.0,16724933.0,tt0970468,PG-13,92 min,"Comedy, Romance",Bharat Nalluri,"David Magee (screenplay), Simon Beaufoy (screenplay), Winifred Watson (novel)","Amy Adams, David Alexander, Clare Clifford, Christina Cole","Guinevere Pettigrew, a middle-aged London governess, finds herself unfairly dismissed from her job. An attempt to gain new employment catapults her into the glamorous world and dizzying social whirl of an American actress and singer, Delysia Lafosse.",English,"UK, USA",1 nomination.,https://m.media-amazon.com/images/M/MV5BMTYwMjc5Mjk4OF5BMl5BanBnXkFtZTgwODc3NjMzMjI@._V1_SX300.jpg,7.1,"25,220",19 Aug 2008,Focus Features,Friday,March,2008,16.724933,92,Comedy
13688,CJ7,2008-03-07,0.0,47301471.0,tt0940709,PG,88 min,"Comedy, Drama, Family, Sci-Fi",Stephen Chow,"Stephen Chow, Vincent Kok, Kan-Cheung Tsang, Sandy Shaw, Chi Keung Fung, Fung Lam","Stephen Chow, Jiao Xu, Lei Huang, Yuqi Zhang",A poor Chinese laborer learns important lessons after his son gets a strange new toy.,"Cantonese, Mandarin","Hong Kong, China",5 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BMTUxNTQxNTY5OF5BMl5BanBnXkFtZTcwNjEyNjg1MQ@@._V1_SX300.jpg,6.4,"13,664",12 Aug 2008,Sony Pictures Classics,Friday,March,2008,47.301471,88,Comedy
13460,Doomsday,2008-03-14,30000000.0,22211426.0,tt0483607,R,105 min,"Action, Sci-Fi, Thriller",Neil Marshall,Neil Marshall,"Caryn Peterson, Adeola Ariyo, Emma Cleasby, Christine Tomlinson",A futuristic action thriller where a team of people work to prevent a disaster threatening the future of the human race.,English,"UK, USA, South Africa, Germany",1 nomination.,https://m.media-amazon.com/images/M/MV5BMTUwODU2NzE2OF5BMl5BanBnXkFtZTcwMTAwMDA2MQ@@._V1_SX300.jpg,6.0,"70,237",29 Jul 2008,Universal Pictures,Friday,March,2008,22.211426,105,Action
32579,Under the Same Moon,2008-03-20,0.0,23311391.0,tt0796307,PG-13,106 min,"Adventure, Drama",Patricia Riggen,Ligiah Villalobos,"Adrian Alonso, Kate del Castillo, Eugenio Derbez, Maya Zapata",A young Mexican boy illegally travels to the U.S. to find his mother (who is illegally in the U.S.) after his grandmother passes away.,"Spanish, English","Mexico, USA",8 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZGYxNjM2MjYtZTg1OS00MGZiLTlkNWYtM2Y2ZjBiYjUyODBhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,7.3,"6,341",17 Jun 2008,The Weinstein Company,Thursday,March,2008,23.311391,106,Adventure
10800,Dragon Hunters,2008-03-20,12000000.0,12235843.0,tt0944834,PG,80 min,"Animation, Action, Adventure, Comedy, Family, Fantasy","Guillaume Ivernel, Arthur Qwak","Frédéric Lenoir, Arthur Qwak","Vincent Lindon, Patrick Timsit, Philippe Nahon, Amanda Lear",A fantastic tale telling the adventures of two dragon hunters!,French,"France, Luxembourg, Germany",1 nomination.,https://m.media-amazon.com/images/M/MV5BNGEzZjI0NTQtNGZlOS00MzE1LTg3MDUtNWVkNTRiNmQ0NDhmXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_SX300.jpg,6.6,"11,634",23 Jun 2009,Peace Arch Entertainment,Thursday,March,2008,12.235843,80,Animation
16710,Meet the Browns,2008-03-21,0.0,41939392.0,tt1047494,PG-13,100 min,"Comedy, Drama, Romance",Tyler Perry,Tyler Perry (play),"Tyler Perry, David Mann, Tamela J. Mann, Angela Bassett","A single mom takes her family to Georgia for the funeral of her father -- a man she never met. There, her clan is introduced to the crass, fun-loving Brown family.",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMTIyNTgyMjgxMF5BMl5BanBnXkFtZTcwMjc3NzI2MQ@@._V1_SX300.jpg,4.3,"6,329",01 Jul 2008,Lionsgate Films,Friday,March,2008,41.939392,100,Comedy
4942,Leatherheads,2008-03-24,58000000.0,41299492.0,tt0379865,PG-13,114 min,"Comedy, Drama, Romance, Sport",George Clooney,"Duncan Brantley, Rick Reilly","John Krasinski, David de Vries, Rick Forrester, Craig S. Harper","In 1925, an enterprising pro football player convinces America's too-good-to-be-true college football hero to play for his team and keep the league from going under.","English, German","USA, Germany",1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMjU1OTEyMzQxNV5BMl5BanBnXkFtZTcwMDU3NTg1MQ@@._V1_SX300.jpg,6.0,"30,283",16 Sep 2008,Universal Pictures,Monday,March,2008,41.299492,114,Comedy
11918,Superhero Movie,2008-03-27,35000000.0,25871834.0,tt0426592,PG-13,75 min,"Action, Comedy",Craig Mazin,Craig Mazin,"Drake Bell, Sara Paxton, Christopher McDonald, Leslie Nielsen","Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTc0Njc1MTU5Nl5BMl5BanBnXkFtZTcwMjA4NDE2MQ@@._V1_SX300.jpg,4.5,"61,135",08 Jul 2008,The Weinstein Company/Dimension Films,Thursday,March,2008,25.871834,75,Action
8065,21,2008-03-27,35000000.0,69823199.0,tt0478087,PG-13,123 min,"Crime, Drama, History, Thriller",Robert Luketic,"Peter Steinfeld (screenplay), Allan Loeb (screenplay), Ben Mezrich (book)","Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",English,USA,1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1_SX300.jpg,6.8,"218,800",22 Jul 2008,Sony/Columbia Pictures,Thursday,March,2008,69.823199,123,Crime
8988,Stop-Loss,2008-03-28,25000000.0,11207130.0,tt0489281,R,112 min,"Drama, War",Kimberly Peirce,"Mark Richard, Kimberly Peirce","Ryan Phillippe, Joseph Gordon-Levitt, Rob Brown, Channing Tatum","A veteran soldier returns from his completed tour of duty in Iraq, only to find his life turned upside down when he is arbitrarily ordered to return to field duty by the Army.",English,USA,2 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMjAyNTI1NDg1MV5BMl5BanBnXkFtZTcwNzE2NTg1MQ@@._V1_SX300.jpg,6.4,"19,241",08 Jul 2008,Paramount Pictures,Friday,March,2008,11.20713,112,Drama
11152,The Ruins,2008-04-02,8000000.0,22700000.0,tt0963794,R,90 min,Horror,Carter Smith,"Scott B. Smith (screenplay), Scott B. Smith (novel)","Jonathan Tucker, Jena Malone, Laura Ramsey, Shawn Ashmore","A group of friends whose leisurely Mexican holiday takes a turn for the worse when they, along with a fellow tourist, embark on a remote archaeological dig in the jungle where something evil lives among the ruins.","English, Maya, Spanish, Greek, German","USA, Germany, Australia",6 nominations.,https://m.media-amazon.com/images/M/MV5BMTcxNjc1NjkyOF5BMl5BanBnXkFtZTcwMzUwMjA2MQ@@._V1_SX300.jpg,5.8,"67,287",08 Jul 2008,DreamWorks/Paramount Studios,Wednesday,April,2008,22.7,90,Horror
10488,Nim's Island,2008-04-03,37000000.0,100076342.0,tt0410377,PG,96 min,"Adventure, Family, Fantasy","Jennifer Flackett, Mark Levin","Joseph Kwong (screenplay), Paula Mazur (screenplay), Mark Levin (screenplay), Jennifer Flackett (screenplay), Wendy Orr (novel)","Abigail Breslin, Jodie Foster, Gerard Butler, Michael Carman",A young girl inhabits an isolated island with her scientist father and communicates with a reclusive author of the novel she's reading.,English,USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTA0OTk0NjIwMDleQTJeQWpwZ15BbWU3MDg3NjM0NTE@._V1_SX300.jpg,6.0,"32,108",05 Aug 2008,Fox Walden,Thursday,April,2008,100.076342,96,Adventure
71831,Street Racer,2008-04-04,5000000.0,6011000.0,tt1200852,R,85 min,Action,Teo Konuralp,"Carey Van Dyke (screenplay), Shane Van Dyke (screenplay)","Clint Browning, Dorothy Drury, Robert Pike Daniel, Jason Ellefson","After serving time for a tragic accident, in which a young boy is crippled, an illegal street racer finds himself dragged back into the world of high speed competition on the side streets and highways of Los Angeles.",English,USA,,https://m.media-amazon.com/images/M/MV5BMTI3ODA5NTk4OF5BMl5BanBnXkFtZTcwNTg3MTEwMg@@._V1_SX300.jpg,3.3,"1,062",27 May 2008,Warner Home Video,Friday,April,2008,6.011,85,Action
8617,Prom Night,2008-04-10,0.0,14796236.0,tt0926129,PG-13,88 min,"Horror, Mystery",Nelson McCormick,J.S. Cardone,"Brittany Snow, Scott Porter, Jessica Stroup, Dana Davis","Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.","English, Italian","USA, Canada",1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTI0NzcyMjAxOF5BMl5BanBnXkFtZTcwMjEwNDc1MQ@@._V1_SX300.jpg,3.9,"32,636",19 Aug 2008,Screen Gems,Thursday,April,2008,14.796236,88,Horror
