,TMDB ID,Title,Release Date,Budget,Revenue,IMDB ID,Rating,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDB Rating,IMDB Votes,Metascore,Rating Dictionary,Type,DVD Release Date,Box Office,Production
10,44319,Fucking Different Tel Aviv,2009-01-01,0,0,tt1362076,N/A,94 min,"Drama, Romance","Stephanie Abramovich, Avital Barak, Hila Ben Baruch, Yossi Brauman, Eyal Bromberg, Sie Gal, Yair Hochner, Eran Koblik Kedar, Sivan Levy, Yasmin Max, Nir Ne'eman, Ricardo Rojstaczer, Anat Salomon, November Wanderin, Elad Zakai","Avital Barak (segment), Hila Ben Baruch (segment), Eyal Bromberg (segment), Sie Gal (segment), Eran Koblik Kedar (segment), Sivan Levy (segment), Yasmin Max (segment), Ricardo Rojstaczer (segment), November Wanderin (segment), Elad Zakai (segment)","Yossi Almong, Roii Amoya, Uri Avrahami, Eliana Bakier",14 gay and lesbian filmmakers from Tel Aviv present short films about their sexuality.,"Hebrew, English, French","Germany, Israel",1 nomination.,https://m.media-amazon.com/images/M/MV5BNzg3NGVjNDgtMjVkMi00YWRiLTg3MGUtNjBjODFkMTBiNzMyXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,6.6,36,,,movie,N/A,,N/A
11,254661,O'er the Land,2009-01-01,0,0,tt1349455,N/A,52 min,Drama,Deborah Stratman,Deborah Stratman (screenplay),N/A,A meditation on freedom and technological approaches to manifest destiny.,English,USA,1 win & 1 nomination.,N/A,8.3,51,,,movie,N/A,,N/A
12,32647,Dear Jack,2009-01-01,50000,0,tt1517750,UNRATED,67 min,Documentary,"Joshua Morrisroe, Corey Moss",Corey Moss,"Andrew McMahon, Tommy Lee, Lin McMahon, Brian McMahon","Chronicles Andrew McMahon on a roller-coaster year, through the highs of releasing the first Jack's Mannequin album and the lows of being diagnosed with leukemia and breaking up with the love of his life.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDExNDg4MjY2NF5BMl5BanBnXkFtZTcwNzAwNzY5Mg@@._V1_SX300.jpg,8.6,177,,,movie,03 Nov 2009,,Warner Bros. Records
13,68484,I'm No Dummy,2009-01-01,0,0,tt0926091,N/A,85 min,"Documentary, Comedy",Bryan W. Simon,Bryan W. Simon,"Jeff Dunham, Jay Johnson, Lynn Trefzger, Tom Ladshaw","Explores the world of ventriloquism through clips, photos and interviews with many of today's greatest vents, revealing this perceived novelty act as a great modern art form. New 2-disk edition contains 2 extra hours of material.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTc3NDA0NTQ4NF5BMl5BanBnXkFtZTgwMTM3NzI1NjE@._V1_SX300.jpg,6.3,118,,,movie,N/A,,N/A
14,27198,Tina Turner: 50 Annivesary Tour – Live in Holland,2009-01-01,0,0,,,,,,,,,,,,,,,,,,,,
15,61631,Sons of Cuba,2009-01-01,450,0,tt1391122,NOT RATED,88 min,Documentary,Andrew Lang,N/A,"Yosvani Bonachea, Cristian Martinez, Santos Urguelles","The Havana Boxing Academy is a Cuban boarding school that takes 9-year-old boys, and turns them into the best boxers in the world. SONS OF CUBA follows the stories of three young hopefuls ...",Spanish,UK,6 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTYxMDA3MjIwN15BMl5BanBnXkFtZTcwNDE5MDgyMw@@._V1_SX300.jpg,7.6,107,,,movie,N/A,,Trinamite Productions
16,445338,The Terrible Thing of Alpha-9!,2009-01-01,0,0,tt1481556,N/A,6 min,"Animation, Short, Comedy",Jake Armstrong,Jake Armstrong,Paul Villeco,A space bounty-hunter travels to a lonely planet to kill a terrible monster.,N/A,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYjcwNWEzM2ItMjNjYS00NGQzLWJjMDYtYjU5ODI4NjA3NWQ1XkEyXkFqcGdeQXVyNjM2NDIwMzQ@._V1_SX300.jpg,7.3,74,,,movie,N/A,,N/A
17,321493,Undertow Eyes,2011-04-02,0,0,tt1471212,N/A,20 min,"Documentary, Short, Biography, Drama",Petra Costa,Petra Costa,"Gabriel Andrade, Vera Andrade","In Undertow Eyes, Vera and Gabriel, an elderly couple, navigate through past and present, telling their own life story. Their remembering, rendered in images from family archives that ...","Portuguese, English",Brazil,8 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTU2NTU0MzgxN15BMl5BanBnXkFtZTcwMzI1MTg3Mg@@._V1_SX300.jpg,7.5,28,,,movie,N/A,,N/A
18,311560,Great Cars: American Classics: Chevrolet,2009-01-01,0,0,,,,,,,,,,,,,,,,,,,,
19,298850,Capitalism Hits the Fan,2009-01-01,0,0,tt2079483,N/A,57 min,Documentary,Sut Jhally,Richard Wolff,Richard Wolff,Richard D Wolfe Economist on the 2008 Economic debacle,English,USA,N/A,N/A,8.4,14,,,movie,N/A,,N/A
20,273973,Carpet Racers,2009-01-01,0,0,tt1512738,N/A,83 min,"Documentary, Action, Comedy",Jay Thames,N/A,Jay Thames,"A funny, yet dramatic, in-depth look inside the subculture of professional, competitive radio control race car drivers. Carpet Racers explores the lives of the men (and women) who's love affair with RC is timeless.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTM3NjA5NDQwOF5BMl5BanBnXkFtZTcwNzE3ODc4Mg@@._V1_SX300.jpg,7.0,38,,,movie,N/A,,N/A
21,221911,The Case for Israel: Democracy's Outpost,2009-01-01,0,0,tt3920846,NOT RATED,77 min,Documentary,Michael Yohay,N/A,N/A,Harvard professor Alan Dershowitz discusses and presents evidence from high profile political experts across to tackle radical accusations against Israel and its basic right to exist.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTYyNTgzMTMxOV5BMl5BanBnXkFtZTgwOTI3NzA4MjE@._V1_SX300.jpg,7.1,15,,,movie,N/A,,N/A
22,215331,Trains Are for Dreaming,2009-01-01,0,0,tt2404400,N/A,7 min,Short,Jennifer Todd Reeves,N/A,N/A,A montage of image and sound representing the dreams of a light sleeper whilst travelling on a train.,English,USA,N/A,N/A,7.1,19,,,movie,N/A,,N/A
23,209592,Model/Photographer,2009-01-01,0,0,tt1461685,N/A,6 min,"Short, Drama, Romance",Zak Forsman,Zak Forsman,"Mary Elise Hayden, John T. Woods","An award-winning glimpse at an amateur photographer, a young aspiring model, and the history between them.",English,USA,N/A,N/A,8.5,28,,,movie,N/A,,N/A
24,152938,Hitler's Stealth Fighter,2009-01-01,0,0,tt1864353,N/A,N/A,Documentary,Michael Jorgensen,Michael Jorgensen,"Manuel Sinor, Rainer Kahl, Ken Beleshko, William Cunningham","In the final months of World War II, American troops discovered a top-secret facility in Germany with an advanced batwing-shaped jet fighter. If Nazi engineers had had more time, would this...",English,"USA, Germany",N/A,https://m.media-amazon.com/images/M/MV5BOGU3NTQ3ODUtY2U2Zi00OWE0LWFlODAtOGJlOGY3Y2E0NTM3XkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_SX300.jpg,7.4,43,,,movie,N/A,,N/A
25,128052,The History of Aviation,2009-01-01,0,0,tt1327942,N/A,15 min,Short,Bálint Kenyeres,"Bálint Kenyeres (screenplay), Tamás Beregi (screenplay)","Marie Mure, Julianna Mrvová, Júlia Nyakó, Caroline Mathieu",N/A,Hungarian,"Hungary, France",4 wins & 1 nomination.,N/A,7.3,92,,,movie,N/A,,N/A
26,112002,Let's Talk About Sex,2009-01-01,0,0,tt0165857,N/A,82 min,Drama,Troy Byer,Troy Byer,"Troy Byer, Paget Brewster, Randi Ingerman, Michaline Babich","An aspiring African-American talk show host sets out with two girlfriends to videotape interviews with multicultural women about life, love and sex. She interviews her friends Michelle, who...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDhkMTcxNjgtM2JjOS00NDM5LTkxYjItM2JiMjhlYzlhOTI3XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,3.7,283,,,movie,27 Jul 1999,,Fine Line
27,104991,Water Wars,2009-01-01,0,0,tt3010202,Not Rated,78 min,Action,"Cirio H. Santiago, Jim Wynorski",N/A,"Michael Madsen, Kevin Stapleton, Monica Leigh, Athena Lundberg","Catastrophic war, destroyed ecosystem, brink of extinction. War for the most valuable treasure of the time: water.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzBhZjZkZmUtNGY2YS00MDlkLWEwODUtYzRjNWIzODQ4NTkyXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,4.7,81,,,movie,27 Jul 2010,,Cinema Libre Studio
28,93127,Cristiano de la Secreta,2009-01-01,0,0,tt1286135,TV-PG,90 min,Comedy,Archie Lopez,Jose Garcia,"Nashla Bogaert, Rene Castillo, Luis José Germán, Sabrina Gómez","Eddy tries to woo Deborah by hiding his Christian faith and posing as a ""bad boy"".",Spanish,Dominican Republic,N/A,https://m.media-amazon.com/images/M/MV5BMjE0MTU0ODAyOV5BMl5BanBnXkFtZTcwMDA2MDgxMw@@._V1_SX300.jpg,6.5,813,,,movie,N/A,,N/A
29,69720,Waterlife,2009-01-01,0,0,tt1436049,N/A,109 min,Documentary,Kevin McMahon,Kevin McMahon,"Bruce Baur, Ernest Benedict, John K. Bruce, Robert Budds",A look at the natural beauty and environmental crisis surrounding the Great Lakes.,English,Canada,2 wins.,https://m.media-amazon.com/images/M/MV5BMTM1MjcwODU1MV5BMl5BanBnXkFtZTcwNDIzMzg3Mg@@._V1_SX300.jpg,7.3,77,,,movie,N/A,,Mongrel Media
30,68538,Petropolis: Aerial Perspectives on the Alberta Tar Sands,2009-01-01,0,0,tt1504458,N/A,43 min,"Documentary, Short",Peter Mettler,N/A,N/A,N/A,English,Canada,2 nominations.,https://m.media-amazon.com/images/M/MV5BMTYxNDk3MTM2OF5BMl5BanBnXkFtZTgwNjU5MzA2MDE@._V1_SX300.jpg,7.0,142,,,movie,N/A,,Mongrel Media
31,58500,The Butterfly Circus,2009-01-01,0,0,tt1507355,Not Rated,20 min,"Short, Drama",Joshua Weigel,"Joshua Weigel, Rebekah Weigel","Eduardo Verástegui, Nick Vujicic, Doug Jones, Matt Allmen","The Butterfly Circus is the story of a renowned circus troupe traveling through the devastated American landscape at the height of the Great Depression, lifting the spirits of audiences ...",English,USA,8 wins.,https://m.media-amazon.com/images/M/MV5BMTU1Nzg5Mjk0MV5BMl5BanBnXkFtZTcwODgyOTU4Mg@@._V1_SX300.jpg,7.9,"2,958",,,movie,N/A,,N/A
32,139846,Soundtrack for a Revolution,2009-01-01,0,0,tt1358885,NOT RATED,82 min,"Documentary, History, Music","Bill Guttentag, Dan Sturman","Bill Guttentag, Dan Sturman","The Roots, John Legend, Wyclef Jean, Joss Stone","Tells the story of the American civil rights movement through its powerful music - the freedom songs protesters sang on picket lines, in mass meetings, and in jail cells as they fought for ...",English,"USA, France, UK",4 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNzc0Mzc3NTMxNV5BMl5BanBnXkFtZTcwMDI0Mjg1Mw@@._V1_SX300.jpg,7.6,249,,,movie,28 Sep 2010,,Docurama
33,30312,Outrage,2009-01-01,0,0,tt1049400,R,90 min,Documentary,Kirby Dick,Kirby Dick,"Tammy Baldwin, Wayne Barrett, Elizabeth Birch, Chris Bull",An indictment of closeted politicians who lobby for anti-gay legislation in the U.S.,English,USA,1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BOTEyODUzODEyOF5BMl5BanBnXkFtZTcwNTkzMzA1Mg@@._V1_SX300.jpg,7.6,"1,547",,,movie,19 Jan 2010,,Magnolia Pictures
34,375351,Locks,2009-01-01,0,0,tt1391819,N/A,6 min,"Short, Drama, Mystery",Ryan Coogler,Ryan Coogler,"Darnell Byrd, Trestin George, Larry Gray, Kiev Harris","A young man in Oakland, California, wakes with a heavy heart and decides to take a walk through the neighborhood to the local barbershop.",English,USA,N/A,N/A,6.9,22,,,movie,N/A,,N/A
35,134546,Pangea: The Neverending World,2009-01-01,0,0,,,,,,,,,,,,,,,,,,,,
36,64831,The Boys: The Sherman Brothers' Story,2009-01-01,0,0,tt1015971,PG,101 min,Documentary,"Gregory V. Sherman, Jeff Sherman",N/A,"Julie Andrews, Jim Dale, Roy Edward Disney, Micky Dolenz",A documentary about Robert B. Sherman & Richard M. Sherman -- aka The Sherman Brothers -- the Academy Award and Grammy-winning songwriters.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTMyMDcwNDAwMV5BMl5BanBnXkFtZTcwNzE2NTY2Mw@@._V1_SX300.jpg,7.8,704,,,movie,30 Nov 2010,,Walt Disney Pictures
37,30966,Facing Ali,2009-01-01,0,0,tt1419318,R,100 min,"Documentary, Biography, Sport",Pete McCormack,Pete McCormack,"George Chuvalo, Henry Cooper, George Foreman, Joe Frazier",Ten of Muhammad Ali's former rivals pay tribute to the three-time world heavyweight champion.,English,"USA, Canada",6 wins.,https://m.media-amazon.com/images/M/MV5BMjA5MzkzMTY1OF5BMl5BanBnXkFtZTcwMDE4ODMwMw@@._V1_SX300.jpg,8.0,"3,134",,,movie,29 Dec 2009,,Lionsgate Films
38,40819,Best Worst Movie,2009-01-01,0,0,tt1144539,Not Rated,93 min,"Documentary, Comedy, Drama",Michael Paul Stephenson,N/A,"George Hardy, Lily Hardy, Pita Ray, Micki Knox","A look at the making of the film Troll 2 (1990) and its journey from being crowned the ""worst film of all time"" to a cherished cult classic.","English, Italian",USA,3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQ1NjE1MjYzNF5BMl5BanBnXkFtZTcwMDU0MDczMw@@._V1_SX300.jpg,7.3,"7,292",,,movie,16 Nov 2010,,Area23A
39,134789,The Darkness of Day,2009-01-01,0,0,tt1773723,N/A,26 min,"Documentary, Short",Jay Rosenblatt,"Jeff Greenwald, Jordan Greenwald (journals), Thomas Logoreci (additional writing), Jay Rosenblatt","Beverly Berning, Richard Silberg",N/A,English,USA,3 wins & 2 nominations.,N/A,8.0,39,,,movie,N/A,,Jay Rosenblatt Films
40,30980,The War on Kids,2009-01-01,0,0,tt1505145,Not Rated,95 min,Documentary,Cevin Soling,N/A,"Randy Cassingham, Laurie A. Couture","Shows how American public schools have failed in their mission to provide education, erode the country's democratic foundation by denying the most basic civil rights to youth, and often resemble prisons.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMjAzNDUzNjg1MV5BMl5BanBnXkFtZTgwMDY5MzA2MDE@._V1_SX300.jpg,7.8,200,,,movie,N/A,,Spectacle Films
41,34767,The White Stripes: Under Great White Northern Lights,2009-01-01,0,0,tt1487275,Unrated,93 min,"Documentary, Music",Emmett Malloy,N/A,"Alex Debogorski, Maria Durham, Jack White, Meg White","In 2007 the legendary American duo White Stripes toured Canada. Besides playing the usual venues they challenged themselves and played in buses, cafés and for Indian tribal elders. Music ...",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMTY4NTY1NTI3M15BMl5BanBnXkFtZTcwMjU2MzgwMw@@._V1_SX300.jpg,8.0,"2,281",,,movie,16 Mar 2010,,Third Man Films
42,113529,The Six Degrees of Helter Skelter,2009-01-01,200000,0,tt1376239,Not Rated,105 min,"Documentary, Crime",Michael Dorsey,"Scott Michaels, Michael Dorsey","Ron Hale, Craig Harvey, Nikki Medlin, Scott Michaels","""The Six Degrees of Helter Skelter"" walks in the footsteps of the Manson Family, visiting over 40 locations related to the infamous Tate/LaBianca murders, and tying together the dozens of ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzczOTA3NTk2OF5BMl5BanBnXkFtZTcwODMwOTYyMw@@._V1_SX300.jpg,6.4,591,,,movie,06 Oct 2009,,Echo Bridge Entertainment
43,60858,Wesley,2009-01-01,0,0,tt1053946,NOT RATED,110 min,"Biography, Drama",John Jackman,"Carolyn Haywood (screenplay), John Jackman, Norman Stone (screenplay), John Wells (an original screenplay)","Burgess Jenkins, R. Keith Harris, Lloyd Arneach, Jim Babel","The year is 1732. John Wesley, an irritatingly self-righteous instructor at Oxford is offered the chance to go to the new colony of Georgia, where he hopes to preach to the Indians. During ...",English,USA,3 wins.,https://m.media-amazon.com/images/M/MV5BMTUzMzY2MDEwMl5BMl5BanBnXkFtZTcwOTUxMzczMw@@._V1_SX300.jpg,7.3,87,,,movie,21 Sep 2010,,Vision Video
44,43907,Money as Debt II: Promises Unleashed,2009-01-01,0,0,tt1828248,N/A,77 min,"Documentary, Animation",N/A,Paul Grignon,Bob Bossin,"A documentary that explores the baffling, fraudulent and destructive arithmetic of the monetary system that holds us hostage to a forever growing DEBT and how we might evolve beyond it into a new era.",English,Canada,N/A,https://ia.media-imdb.com/images/M/MV5BMzRjZDg1YzgtZjg3Yy00MDVkLTg0YjMtMTU4NTliZDdmZTlhXkEyXkFqcGdeQXVyNjMxMDgyNzQ@._V1_SX300.jpg,7.5,125,,,movie,N/A,,N/A
45,38669,Tornado Valley,2009-01-01,0,0,tt4118060,N/A,N/A,Action,G.M. Whiting,"David W. Allen, G.M. Whiting","Israel Adam, Nathaniel Anderson, Brock Brazda, Landen James",N/A,English,USA,N/A,N/A,N/A,N/A,,,movie,N/A,,N/A
46,33200,Nuit blanche,2009-01-01,0,0,tt1500842,N/A,5 min,"Short, Drama, Fantasy",Arev Manoukian,N/A,"Michael Coughlan, Megan Lindley","Explores a fleeting moment between two strangers, revealing their brief connection in a hyper real fantasy.",N/A,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMGVkODRiZDMtNDIzMC00Y2Q0LWEzYjAtNzc0NjBhNzZiNDk4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjkzODMxNTY@._V1_SX300.jpg,8.0,462,,,movie,N/A,,N/A
47,21372,Life Is Hot in Cracktown,2009-01-01,0,0,tt0901494,R,99 min,"Crime, Drama",Buddy Giovinazzo,Buddy Giovinazzo (based on his novel),"Evan Ross, Stephanie Lugo, Maurice Blake, Omar Regan","Various stories of how crack cocaine has infiltrated the inner-city streets. Based on Buddy Giovinazzo's novel ""Life is Hot in Cracktown"".",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMzMyOTMwNzg2NV5BMl5BanBnXkFtZTcwODc5Mzc1Mg@@._V1_SX300.jpg,6.1,"1,697",,,movie,25 Aug 2009,,Lightning Media
48,31869,The Ascent of Money,2009-01-01,0,0,tt1358383,N/A,120 min,Documentary,Adrian Pennick,Niall Ferguson (book),"Gareth Armstrong, Niall Ferguson, Richard Lintern","Niall Ferguson takes us on a historical adventure through the ascent of money, applying fact and opinion throughout.",English,UK,1 win.,https://m.media-amazon.com/images/M/MV5BMzc4ODRjMjktNWMwMy00YWFkLWJhNTYtM2NlOGZlOTk1NzEyXkEyXkFqcGdeQXVyNTcyNjMxNzA@._V1_SX300.jpg,8.0,624,,,movie,01 Sep 2009,,PBS
49,34835,It Felt Like a Kiss,2009-01-01,0,0,tt1590078,N/A,54 min,"Documentary, History, Music",Adam Curtis,Adam Curtis,"H. Rap Brown, Nikita Khrushchev, Richard Nixon",The story of America's rise to power starting with 1959; it uses archive footage and American pop music to highlight the consequences to the rest of the world and in the peoples' minds.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMmVjMWYyYmYtODU1NC00OGIyLWI1ZjUtOWRhNjYzYmQzMzZkXkEyXkFqcGdeQXVyMzEwMDM2NDE@._V1_SX300.jpg,8.0,651,,,movie,N/A,,N/A
50,40376,The Coca-Cola Case,2009-01-01,0,0,tt1339641,Not Rated,86 min,Documentary,"Carmen Garcia, German Gutierrez(co-director)",Carmen Garcia,N/A,"Two lawyers and labor rights' activists, Daniel Kovalik of the United Steel Workers of America and Terry Collingsworth of the International Rights Advocates, and their partner Ray Rogers of...",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMTAxNjk3MDI4ODVeQTJeQWpwZ15BbWU4MDMwMTMwNjAx._V1_SX300.jpg,6.4,221,,,movie,N/A,,National Film Board
51,41999,The Art of the Steal,2009-01-01,0,0,tt2172985,R,90 min,"Comedy, Crime, Thriller",Jonathan Sobol,Jonathan Sobol,"Kurt Russell, Matt Dillon, Jay Baruchel, Kenneth Welsh","Crunch Calhoun, a semi-reformed art thief, agrees to get his old gang back together to pull off one last heist.","English, Spanish","Canada, USA",5 nominations.,https://m.media-amazon.com/images/M/MV5BNjUxNjYyNTUxMF5BMl5BanBnXkFtZTgwNDgyMDcyMTE@._V1_SX300.jpg,6.3,"22,469",,,movie,06 May 2014,,Radius-TWC
52,31160,Alma,2009-01-01,0,0,tt1490530,Not Rated,6 min,"Animation, Short, Fantasy, Horror, Mystery",Rodrigo Blaas,Rodrigo Blaas,N/A,"Alma, a little girl, skips through the snow-covered streets of a small town. Her attention is caught by a strange doll in an antique toy shop window. Fascinated, Alma decides to enter.",English,"USA, Spain",2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMGJmMmQ1NWUtNTJmZi00NmE2LTk4MzEtNjZmNmQ3MzFjZTc0XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,7.3,"2,445",,,movie,N/A,,N/A
53,333590,My Beautiful Dacia,2009-01-01,0,0,tt1538874,N/A,74 min,"Documentary, History","Stefan Constantinescu, Julio Soto Gurpide","Stefan Constantinescu, Julio Soto Gurpide","Miodrag Belodedic, Grigore Munteanu, Niculae Petrisor, Constantin Stroe","An extravagant odyssey from Communism to Capitalism as seen from the perspective of one of Romania's most charismatic symbols, the Dacia automobile.",Romanian,"Romania, Spain",N/A,https://m.media-amazon.com/images/M/MV5BMjM3NTAyNDM2Ml5BMl5BanBnXkFtZTgwODIzMzQ0MjE@._V1_SX300.jpg,7.4,52,,,movie,N/A,,Hi Film Productions
54,318297,Rudy Maxa's World Exotic Places: Turkey,2009-01-01,0,0,,,,,,,,,,,,,,,,,,,,
55,307119,Caught in the Game,2009-01-01,0,0,tt1117568,NR,107 min,Drama,Michael Merrill,Michael Merrill,"William Alonzo, Naomi Banxx, Jade Brandais, Tony L. Brown","A beautiful broker, her criminal lover, and a handsome janitor find themselves tangled in a web of betrayal and violence in this drama of crime and passion.",English,USA,3 wins.,https://m.media-amazon.com/images/M/MV5BMTQ5MjY4OTMwMF5BMl5BanBnXkFtZTcwMzk4Mjc1MQ@@._V1_SX300.jpg,6.8,13,,,movie,N/A,,Fenix Pictures
56,305025,Christmas for a Dollar,2009-01-01,0,0,tt3003470,PG,101 min,"Drama, Family",John Lyde,"Sally Meyer (screenplay), Gale Sears (based on the book: 'Christmas for a Dollar' by), Ben Sowards (based on the book: 'Christmas for a Dollar' by)","Brian Krause, Nancy Stafford, Danielle C. Ryan, Heather Beers","America is in the midst of the Depression, and the Kamp family is struggling to get by, especially after Mrs. Kamp's untimely death. Now little Ruthie, with her mother gone and her father ...",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BMjA0NTE3Mjk5Ml5BMl5BanBnXkFtZTgwODU3NTkxNzE@._V1_SX300.jpg,7.0,311,,,movie,03 Oct 2017,,Mainstay Productions
57,272981,Laughology,2009-01-01,0,0,tt1440749,N/A,65 min,Documentary,Albert Nerenberg,N/A,N/A,An investigation into the science of laughter as a filmmaker searches to rediscover his own laugh.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMTMxMTk2MDg4NV5BMl5BanBnXkFtZTcwNTI2NTk5Mw@@._V1_SX300.jpg,7.4,29,,,movie,07 Sep 2010,,Disinformation
58,271578,Mr. Smith Goes to Tokyo,2009-01-01,0,0,,,,,,,,,,,,,,,,,,,,
59,268802,Thor at the Bus Stop,2009-01-01,0,0,tt1326267,TV-PG,101 min,Comedy,"Jerry Thompson, Mike Thompson","Jerry Thompson, Mike Thompson","Joe Berry, Barrett Applegate, Chris McInroy, Jason Neistadt","THOR AT THE BUS STOP is a comedy that begins with Thor, the Norse God of Lightning, as he makes his final journey through a suburban neighborhood on the day he is going to die fighting to ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTc1NTQxNDEzMl5BMl5BanBnXkFtZTcwMDU5NDMzOA@@._V1_SX300.jpg,6.3,113,,,movie,N/A,,N/A
60,209593,Dust Request: A Last Will and Testament,2009-01-01,0,0,tt1565415,N/A,9 min,"Documentary, Short, Adventure",Kevin K. Shah,Kevin K. Shah,"Arjun Chandra, Surya Chandra, Hash Patel",A promise to return to her after his death. A journey into nature to see him once more.,Hindi,"New Zealand, USA",N/A,N/A,N/A,N/A,,,movie,N/A,,N/A
